web,Source,Species,Interactions,Latitude,Longitude,Locality of Study,Reference
M_PL_056,WoL,456,871,35.583333,138.383333,"Mt. Kushigata, Yamanashi Pref., Japan","Kato et al. 1993. Flowering Phenology and Anthophilous Insect Community in the Cool-Temperate Subalpine Forests and Meadows at Mt. Kushigata in the Central Part of Japan. Contributions from the Biological Laboratory, Kyoto University 28: 119-172"
M_PL_044,WoL,719,1125,28.377248,129.493741,"Amami-Ohsima Island, Japan","Kato M (2000).Anthophilous insect community and plant-pollinator interactions on Amami Islands in the Ryukyu Archipelago, Japan. Contr Biol Lab Kyoto Univ 29:157-252."
M_PL_021,WoL,768,1193,35.333333,135.75,"Ashu, Kyoto, Japan","Kato, M., Kakutani, T., Inoue, T. and Itino, T. (1990). Insect-flower relationship in the primary beech forest of Ashu, Kyoto: An overview of the flowering phenology and the seasonal pattern of insect visits. Contrib. Biol. Lab., Kyoto, Univ., 27, 309-375."
M_PL_020,WoL,111,190,81.816667,-71.3,"Hazen Camp, Ellesmere Island, Canada","Kevan P. G. 1970. High Arctic insect-flower relations: The interrelationships of arthropods and flowers at Lake Hazen, Ellesmere Island, Northwest Territories, Canada. Ph.D. thesis, University of Alberta, Edmonton, 399 pp."
M_PL_069_01,WoL,24,29,-27.27,-49.01,"Atlantic Forest, low elevation","Kohler, G. (2011) Redes de interação planta-beija-flor em um gradiente altitudinal de Floresta Atlântica no Sul do Brasil. MSc. Thesis. Universidade Federal do Paraná, Brazil."
M_PL_069_02,WoL,14,16,-27.26,-49.02,"Atlantic Forest, mid elevation","Kohler, G. (2011) Redes de interação planta-beija-flor em um gradiente altitudinal de Floresta Atlântica no Sul do Brasil. MSc. Thesis. Universidade Federal do Paraná, Brazil."
M_PL_069_03,WoL,11,15,-27.26,-49.02,"Atlantic Forest, high elevation","Kohler, G. (2011) Redes de interação planta-beija-flor em um gradiente altitudinal de Floresta Atlântica no Sul do Brasil. MSc. Thesis. Universidade Federal do Paraná, Brazil."
M_PL_070,WoL,16,41,19.23,-98.97,"Highland temperate mosaic forest, Central Mexico","Lara, C. (2006) Temporal dynamics of flower use by hummingbirds in a highland temperate forest in México. Ecoscience, 13, 23–29."
M_PL_067,WoL,36,59,-7.87,-36.4,"Serra do Pará, Brazil","Las Casas, F.M.G., Azevedo Júnior, S.M. & Dias Filho, M.M. (2012) The community of hummingbirds (Aves:Trochilidae) and the assemblage of flowers in a Caatinga vegetation. Brazilian Journal of Biology, 72, 51–58."
M_PL_045,WoL,43,63,71,-52,"Uummannaq Island, Greenland","Lundgren R, Olesen JM (2005). The Dense and Highly Connected World of Greenland's Plants and Their Pollinators. Arc Antarc Alp Res 37:514-520."
