plant	web	Latitude	lat.x	lat.sc	symmetry	PC1	PC2	PC3	PC4	pc1.sc	pc2.sc	pc3.sc	pc4.sc	n.poll	n.shared	rel.mn.n.shared
Agauria salicifolia	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-12.8874229758282	4.3550774364037	3.98227726930666	6.78029862648466	-0.413222220295007	0.186452363813547	0.289414432705105	0.68438537762461	2	2	0.375
Flagellaria indica	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	68.0818554955978	32.5177636504882	-0.671819846384137	-6.40695424604771	2.18297603349104	1.39217131890321	-0.0488249176469693	-0.646700985112559	2	2	0.55
Polyscias mauritiana	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-23.4461323246487	12.0014176092554	-7.74691872873783	0.826617484115561	-0.751776586730618	0.513812375333335	-0.563012050007399	0.0834365785612663	1	1	0.55
Sideroxylon puberulum	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-9.72485364056864	3.8463802909603	3.28237287551499	5.47272902926987	-0.311817624123686	0.164673695898184	0.23854845342278	0.552402767144182	17	12	0.123161764705882
Psiadia terebinthina	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-33.6618214183517	18.2488235359815	-25.9822516295975	-1.72081995126702	-1.07933235463403	0.781280318154287	-1.88827600572636	-0.173695006230491	12	9	0.140625
Aphloia theiformis	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	11.4696124974864	-21.3206186332092	-0.491513178490337	6.69431954812188	0.367761557219325	-0.912791976762572	-0.0357210204362868	0.675706877273124	6	4	0.1875
Coffea mauritiana	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-27.1108549270591	13.0844615079756	19.791764771843	-2.05580098963599	-0.869282220973681	0.560180344210823	1.43837859252656	-0.207507104645409	9	7	0.190972222222222
Polyscias mauritiana	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-23.4461323246487	12.0014176092554	-7.74691872873783	0.826617484115561	-0.751776586730618	0.513812375333335	-0.563012050007399	0.0834365785612663	6	4	0.145833333333333
Dracaena reflexa	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	70.3878350547198	34.5136345390153	-0.793699601963622	-8.63912561493188	2.2569149423918	1.47761982136195	-0.0576826033212305	-0.872010448511323	3	3	0.260416666666667
Claoxylon linostachys	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	8.82413123972565	-30.9676621306344	-1.21794254702896	-2.09377327556661	0.282936868751267	-1.32580738008738	-0.0885147184583577	-0.211339926572217	3	2	0.0625
Bertiera zaluzania	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-27.1104953311281	13.0843214501485	19.7913973506796	-2.05570398283324	-0.869270690892819	0.560174347965449	1.43835188996911	-0.207497313035778	5	4	0.20625
Pittosporum senacia	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-23.0273456503443	11.8234724251324	-7.50393854168851	0.864591920530499	-0.738348614380319	0.50619407217031	-0.545353316514514	0.0872696175522633	5	5	0.25
Coffea macrocarpa	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-27.1108549270591	13.0844615079756	19.791764771843	-2.05580098963599	-0.869282220973681	0.560180344210823	1.43837859252656	-0.207507104645409	6	5	0.125
Antirhea borbonica	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-27.0942485136209	13.0774118388036	19.7742371930343	-2.05131853910129	-0.868749753074945	0.559878529260248	1.43710476503174	-0.207054657965569	2	2	0.171875
Stillingia lineata	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	8.65553599690924	-31.5438553494002	-1.25575832525129	-2.25469560736148	0.277531032324664	-1.35047573311233	-0.091263003236485	-0.22758300034827	4	4	0.265625
Doratoxylon apetalum	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	9.59692862804496	-27.9955570673166	-0.87613894842733	12.9733125504582	0.307715837614044	-1.19856371504352	-0.063673933174947	1.3094917935039	4	4	0.1484375
Mimusops erythroxylon	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-9.72995914149037	3.84710330967698	3.2831856373354	5.473802171406	-0.311981326861662	0.16470465023844	0.238607521384469	0.552511087267902	5	2	0.05
Phyllanthus phillyreifolius	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	8.84109839868816	-30.9687915635762	-1.22061091052833	-2.1057253806045	0.283480903591416	-1.32585573409367	-0.0887086434053657	-0.212546340385292	4	2	0.078125
Antidesma madagascariense	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	8.8955983685788	-30.7875069001055	-1.20883587315551	-2.05510595075747	0.285228390160799	-1.31809445900251	-0.0878528853727439	-0.207436949262653	5	2	0.10625
Croton fothergillifolius	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	8.66011119157983	-31.5268951449193	-1.25460603948216	-2.24988549254881	0.27767773132753	-1.34974962197828	-0.09117926016446	-0.227097480104423	5	5	0.28125
Grangeria borbonica	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	9.33012959828079	-29.2769255373097	-1.10849292855339	-1.62737573989798	0.299161195800977	-1.25342248245585	-0.0805604005897749	-0.164262995133689	4	4	0.21875
Erythroxylum macrocarpum	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	8.95860240237	-30.5764550100579	-1.1950821888801	-1.99609840190775	0.287248550962503	-1.30905877034683	-0.0868533279680266	-0.201480883633851	6	6	0.130208333333333
Chassalia coriacea	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-27.3763626413135	13.198752464285	20.0795987329115	-2.12871299478547	-0.877795458057265	0.565073441814157	1.45929710144053	-0.214866649250521	1	1	0.125
Chassalia petrinensis	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-27.3763626413135	13.198752464285	20.0795987329115	-2.12871299478547	-0.877795458057265	0.565073441814157	1.45929710144053	-0.214866649250521	4	1	0.078125
Erythrospermum monticolum	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	8.94551516849491	-30.645812157454	-1.20047224833788	-2.01784911880716	0.286828922007239	-1.31202813295133	-0.0872450538310758	-0.203676343364882	4	3	0.09375
Flagellaria indica	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	68.0818554955978	32.5177636504882	-0.671819846384137	-6.40695424604771	2.18297603349104	1.39217131890321	-0.0488249176469693	-0.646700985112559	3	2	0.25
Monimiastrum globosum	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	NA	NA	NA	NA	NA	NA	NA	NA	5	4	0.11875
Roussea simplex	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-23.4693874356541	12.4672916956943	-10.7371970025889	0.424003234238857	-0.752522238411399	0.533757675026499	-0.780332349858766	0.0427977629842337	2	2	0.296875
Cordemoya integrifolia	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	NA	NA	NA	NA	NA	NA	NA	NA	2	2	0.34375
Molinaea alternifolia	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	9.58710801945703	-28.0263916883063	-0.87779664868431	12.996685375553	0.307400949704106	-1.19988382658109	-0.0637944075535561	1.31185098453808	3	3	0.1875
Euodia chapelieri	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	9.57770300920643	-28.0502363223082	-0.878925378784289	13.006695111671	0.307099387535708	-1.20090467831998	-0.063876438702939	1.31286134077907	2	2	0.28125
Faujasiopsis flexuosa	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-33.589350043219	18.2076667407851	-25.8735796126708	-1.70554435717839	-1.07700863308036	0.779518287085168	-1.88037820052525	-0.172153128238871	2	2	0.375
Ochna mauritiana	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	9.22605609902005	-29.5515178290855	-1.12367997235027	-1.69544628772128	0.295824184009011	-1.26517850347596	-0.081664128273133	-0.171133855864688	2	1	0.0625
Agauria salicifolia	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-12.8874229758282	4.3550774364037	3.98227726930666	6.78029862648466	-0.413222220295007	0.186452363813547	0.289414432705105	0.68438537762461	1	1	0.46875
Olea lancea	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-26.9951993062686	13.202581977231	21.0287576425632	-2.46881401954294	-0.865573840135845	0.565237393374482	1.52827780489408	-0.249195545525084	1	0	0
Pandanus wiehii	M_PL_060_05	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	64.3276440218456	29.2242171513722	-0.457416260709276	-2.02941186931622	2.06260102884111	1.25116589728731	-0.0332430061120064	-0.204843456763488	1	1	0.3125
Coffea macrocarpa	M_PL_060_06	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-27.1108549270591	13.0844615079756	19.791764771843	-2.05580098963599	-0.869282220973681	0.560180344210823	1.43837859252656	-0.207507104645409	7	6	0.182857142857143
Sideroxylon puberulum	M_PL_060_06	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-9.72485364056864	3.8463802909603	3.28237287551499	5.47272902926987	-0.311817624123686	0.164673695898184	0.23854845342278	0.552402767144182	15	4	0.0613333333333333
Phyllanthus phillyreifolius	M_PL_060_06	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	8.84109839868816	-30.9687915635762	-1.22061091052833	-2.1057253806045	0.283480903591416	-1.32585573409367	-0.0887086434053657	-0.212546340385292	2	1	0.18
Badula platiphylla	M_PL_060_06	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-10.5833386416422	3.97142587629535	3.43211014044389	5.69452001163935	-0.33934407987042	0.170027227565676	0.24943070060286	0.574789761225794	4	2	0.07
Coffea mauritiana	M_PL_060_06	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-27.1108549270591	13.0844615079756	19.791764771843	-2.05580098963599	-0.869282220973681	0.560180344210823	1.43837859252656	-0.207507104645409	6	5	0.186666666666667
Warneckea trinervis	M_PL_060_06	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	9.54716530641752	-26.7705168030469	-0.738211654256115	8.08562770027674	0.306120226894142	-1.14611650684222	-0.0536499828325686	0.816141835607456	5	4	0.168
Antirhea borbonica	M_PL_060_06	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-27.0942485136209	13.0774118388036	19.7742371930343	-2.05131853910129	-0.868749753074945	0.559878529260248	1.43710476503174	-0.207054657965569	1	1	0.28
Grangeria borbonica	M_PL_060_06	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	9.33012959828079	-29.2769255373097	-1.10849292855339	-1.62737573989798	0.299161195800977	-1.25342248245585	-0.0805604005897749	-0.164262995133689	6	5	0.166666666666667
Helichrysum proteoides	M_PL_060_06	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-33.5597648572208	18.1908714139994	-25.829261339059	-1.69931346973818	-1.07606001392904	0.778799234800578	-1.87715734292333	-0.171524198970616	7	4	0.0628571428571429
