web,plant,tip_name,symmetry,PC1,PC2,PC3,PC4,n.poll,n.shared,mn.n.shared,md.n.shared
M_PL_015,Ecballium elaterium,Ecballium_elaterium,actinomorphic,10.2711648585101,-26.4197907323425,-0.981364785146098,-3.22924814892897,31,26,3.22307692307692,2
M_PL_015,Hirschfeldia incana,Hirschfeldia_incana,actinomorphic,8.91319690558993,-31.7271112761996,-1.13281055824698,18.464727211185,31,26,3.29230769230769,3
M_PL_015,Stachys cretica,Stachys_cretica,zygomorphic,-30.9185293323622,15.0384218419801,26.4952494268128,-3.95142887241399,31,30,3.28461538461538,2
M_PL_015,Ballota acetabulosa,Ballota_acetabulosa,zygomorphic,-30.9149070795858,15.036725421764,26.4901840921159,-3.95005453698756,28,22,2.59230769230769,2
M_PL_015,Gagea granatelli,Gagea_granatelli,actinomorphic,67.5862061892853,32.0540490816421,-0.633617066150255,-5.40066846784095,28,27,2.98461538461538,2
M_PL_015,Nigella arvensis,Nigella_arvensis,actinomorphic,42.0363832299176,11.344697684462,0.606611491302308,28.7479043320104,27,24,0.984615384615385,0
M_PL_015,Ranunculus spruneranus,Ranunculus_spruneranus,actinomorphic,42.0779661754047,11.3483454143187,0.614795344405318,29.2934323986418,27,26,3.27692307692308,2
M_PL_015,Urginea maritima,Urginea_maritima,actinomorphic,70.278592401351,34.4184168833255,-0.787683417527363,-8.52203666322264,27,22,1.86923076923077,1
M_PL_015,Eryngium campestre,Eryngium_campestre,actinomorphic,-24.0790492018891,12.2738385076657,-8.12231706595873,0.771773476561897,25,22,1.10769230769231,0
M_PL_015,Scilla autumnalis,Scilla_autumnalis,actinomorphic,70.3067651723267,34.4429724533378,-0.789234746713118,-8.55222586793095,25,25,3.01538461538462,2
M_PL_015,Erodium cicutarium,Erodium_cicutarium,actinomorphic,11.1634165234291,-21.1209843951739,-0.443815970233299,4.83094850567879,24,24,3.26153846153846,2.5
M_PL_015,Papaver rhoeas,Papaver_rhoeas,actinomorphic,41.1137271774139,11.0650628575571,0.486918293663793,20.0160578209602,24,24,3.14615384615385,2
M_PL_015,Carduus pycnocephalus,Carduus_pycnocephalus,actinomorphic,-32.8893341225214,17.8099482536469,-24.822917343923,-1.55789164075341,22,21,2.87692307692308,2
M_PL_015,Convolvulus arvensis,Convolvulus_arvensis,actinomorphic,-25.0884126248085,12.1913762312718,17.4562111944892,-1.47237230311698,22,20,2.44615384615385,2
M_PL_015,Salvia verbenaca,Salvia_verbenaca,zygomorphic,-30.9846389826875,15.0695301597221,26.5886122768477,-3.97675340340898,22,20,2.90769230769231,3
M_PL_015,Sherardia arvensis,Sherardia_arvensis,actinomorphic,-27.3762813146345,13.1987182451139,20.0795033733099,-2.12868911231058,21,19,2.25384615384615,2
M_PL_015,Alkanna tinctoria,Alkanna_tinctoria,actinomorphic,-24.8482414328827,12.1010028977146,17.3175762578173,-1.4515551959128,20,18,1.9,1
M_PL_015,Senecio vulgaris,Senecio_vulgaris,actinomorphic,-33.5927351895814,18.2095794647601,-25.8786235005875,-1.70625536669384,20,20,2.58461538461538,2
M_PL_015,Anchusa undulata,Anchusa_undulata,actinomorphic,-24.8371845130391,12.0964981306595,17.3070985011384,-1.44876867213197,19,19,2.33076923076923,2
M_PL_015,Anemone coronaria,Anemone_coronaria,actinomorphic,42.0579320092141,11.3464312947011,0.610901728771794,29.0333288252998,19,19,2.61538461538462,2
M_PL_015,Geranium rotundifolium,Geranium_rotundifolium,actinomorphic,11.1206651257032,-21.2142283257808,-0.447589571710616,4.84417411802276,19,18,2.66923076923077,2
M_PL_015,Salvia triloba,Salvia_triloba,zygomorphic,-30.9846389826875,15.0695301597221,26.5886122768477,-3.97675340340898,19,15,1.71538461538462,1
M_PL_015,Bellis annua,Bellis_annua,actinomorphic,-33.6646852215098,18.2504493993104,-25.9865365145692,-1.72142234709441,18,17,1.86153846153846,1
M_PL_015,Biscutella didyma,Biscutella_didyma,actinomorphic,8.91654579257903,-31.7136031040577,-1.1319793003102,18.4494972339099,18,18,2.43846153846154,2
M_PL_015,Capparis ovata,Capparis_ovata,actinomorphic,9.04115005875806,-31.2082291269659,-1.10081715688084,17.8767990542672,18,18,2.13076923076923,2
M_PL_015,Cyclamen graecum,Cyclamen_graecum,actinomorphic,-10.5223278618797,3.96268397491098,3.42186905005526,5.68002257960596,18,18,2.31538461538462,2
M_PL_015,Muscari comosum,Muscari_comosum,actinomorphic,70.3088125261206,34.4447564339559,-0.789347384521236,-8.55441718572503,18,18,2.46923076923077,2
M_PL_015,Muscari neglectum,Muscari_neglectum,actinomorphic,70.3088125261206,34.4447564339559,-0.789347384521236,-8.55441718572503,18,17,2.52307692307692,2
M_PL_015,Osyris alba,Osyris_alba,actinomorphic,9.42739080163898,-4.06136729119498,1.22048991679804,6.55955960442366,18,16,0.915384615384615,0
M_PL_015,Scorzonera lanata,Scorzonera_lanata,actinomorphic,-33.093719545396,17.9264663964798,-25.1320170969565,-1.60125144940519,18,17,3.01538461538462,2.5
M_PL_015,Verbascum undulatum,Verbascum_undulatum,actinomorphic,-30.1343133858463,14.6708862861195,25.3982431242829,-3.65384893985007,18,14,2.68461538461538,2
M_PL_015,Erica manipuliflora,Erica_manipuliflora,actinomorphic,-12.8634820045805,4.3512925953625,3.97720553046755,6.77114276263556,17,16,2.11538461538462,1.5
M_PL_015,Hypericum empetrifolium,Hypericum_empetrifolium,actinomorphic,8.55266019190943,-31.9883815007643,-1.28882317409505,-2.39522208203124,15,14,2.34615384615385,2
M_PL_015,Prasium majus,Prasium_majus,zygomorphic,-30.9146445031041,15.0361836965036,26.4893299391632,-3.94991983075009,15,15,1.91538461538462,1
M_PL_015,Taraxacum officinale,Taraxacum_officinale,actinomorphic,-33.1873868365131,17.9791971253,-25.2697412385213,-1.62070285919719,15,15,2.34615384615385,2
M_PL_015,Allium subhirsutum,Allium_subhirsutum,actinomorphic,70.4762702631828,34.5907240578451,-0.798572535804078,-8.73400652663058,14,13,2.19230769230769,2
M_PL_015,Crocus cancellatus,Crocus_cancellatus,actinomorphic,69.9126423872546,34.0993343884037,-0.767493828697267,-8.12849173251526,14,13,2.12307692307692,2
M_PL_015,Daucus guttatus,Daucus_guttatus,actinomorphic,-24.4664346842675,12.4403220179241,-8.35148665700435,0.738022631107187,14,12,1.01538461538462,0
M_PL_015,Dittrichia graveolens,Dittrichia_graveolens,actinomorphic,-33.4988545028924,18.1563670817373,-25.7384457950893,-1.68653045364131,14,14,1.26153846153846,1
M_PL_015,Medicago lupulina,Medicago_lupulina,zygomorphic,8.37120751177935,-39.4905023675346,-2.43476466699522,-25.4618707955219,14,14,1.77692307692308,1
M_PL_015,Muscari commutatum,Muscari_commutatum,actinomorphic,70.3088125261206,34.4447564339559,-0.789347384521236,-8.55441718572503,14,14,2.26923076923077,2
M_PL_015,Plantago lagopus,Plantago_lagopus,actinomorphic,-29.9903541256922,14.6020587279019,25.1871663353262,-3.59660318933887,14,13,1.9,1
M_PL_015,Chondrilla juncea,Chondrilla_juncea,actinomorphic,-33.183567693881,17.9770473610679,-25.2641269369828,-1.61990986628411,13,12,2,2
M_PL_015,Eruca vesicaria,Eruca_vesicaria,actinomorphic,8.9129750135495,-31.728006396069,-1.1328656407651,18.4657363067916,13,12,2.03846153846154,2
M_PL_015,Pallenis spinosa,Pallenis_spinosa,actinomorphic,-33.4988538050607,18.1563677453439,-25.738445958511,-1.686530252157,13,12,0.615384615384615,0
M_PL_015,Reichardia picroides,Reichardia_picroides,actinomorphic,-33.1828471983965,17.9766404424657,-25.2630660795564,-1.61976031501633,13,11,1.87692307692308,1
M_PL_015,Delphinium peregrinum,Delphinium_peregrinum,actinomorphic,42.0453293756955,11.3453112507224,0.608426089657243,28.8682582837887,12,12,1.04615384615385,1
M_PL_015,Trifolium stellatum,Trifolium_stellatum,zygomorphic,8.36897700809471,-39.5041897903278,-2.43622610705103,-25.4834818325351,12,11,1.72307692307692,1
M_PL_015,Crocus laevigatus,Crocus_laevigatus,actinomorphic,69.9126423872546,34.0993343884037,-0.767493828697267,-8.12849173251526,11,9,1.86923076923077,1
M_PL_015,Fumana arabica,Fumana_arabica,actinomorphic,9.15976217778101,-30.7234197572626,-1.07109752186751,17.3364681523273,11,11,1.79230769230769,2
M_PL_015,Phlomis fructicosa,Phlomis_fruticosa,zygomorphic,-30.9140315157195,15.0363151094622,26.4889596439245,-3.94972238478174,11,11,1.96153846153846,2
