web,connectance,web.asymmetry,links.per.species,nestedness,n.aff,n.hosts,host.sharing,aff.sharing,modularity,z.est,zstar,zstarLO,zstarHI
M_PL_060_13,0.221198156682028,0.631578947368421,1.26315789473684,24.412473000468,31,7,0.574193548387097,1.04761904761905,0.433810740709305,0.691792924383554,NA,NA,NA
M_PL_060_14,0.243243243243243,0.541666666666667,2.0625,21.7245525056194,37,11,0.822822822822823,2.8,0.250535666942596,0.517289094597104,0.51958319957601,0.464167451424169,0.574998947727852
M_PL_060_15,0.252895752895753,0.450980392156863,2.56862745098039,27.8166124043912,37,14,1.01051051051051,3.30769230769231,0.152526080608368,0.42188459363455,NA,NA,NA
M_PL_060_16,0.171945701357466,0.392857142857143,2.03571428571429,15.7125460967706,39,17,0.60863697705803,1.98529411764706,0.295129269361496,0.541995942749579,0.612853141081903,0.597875990308193,0.627830291855613
M_PL_060_17,0.168067226890756,0.346153846153846,1.92307692307692,18.4962676312447,35,17,0.566386554621849,1.45588235294118,0.365350008010864,0.536821030620944,0.472911328744886,0.045830517344616,0.899992140145155
M_PL_060_18,0.133928571428571,0.166666666666667,1.5625,11.2215301419122,28,20,0.518518518518518,0.905263157894737,0.402666628360748,0.585534167461079,0.601535513593825,0.547800354040656,0.655270673146994
M_PL_060_19,0.175213675213675,-0.161290322580645,1.32258064516129,10.4134956098347,13,18,0.67948717948718,0.69281045751634,0.438726902008057,0.514583054553656,NA,NA,NA
M_PL_060_20,0.171296296296296,0.2,1.23333333333333,15.1080415849003,18,12,0.490196078431373,0.621212121212121,0.452154844999313,0.630790176509226,NA,NA,NA
M_PL_060_21,0.242424242424242,0.571428571428571,1.14285714285714,22.8146490998327,22,6,0.567099567099567,1,0.458984375,0.787117702754996,NA,NA,NA
M_PL_060_22,0.158808933002481,0.409090909090909,1.45454545454545,9.98833402232766,31,13,0.556989247311828,1.03846153846154,0.42333984375,0.667028607025545,NA,NA,NA
M_PL_060_23,0.175925925925926,0.384615384615385,1.46153846153846,17.7383895208374,27,12,0.538461538461538,1.07575757575758,0.405663251876831,0.629723198385184,NA,NA,NA
M_PL_060_24,0.136904761904762,0.263157894736842,1.21052631578947,23.6598844475139,24,14,0.289855072463768,0.43956043956044,0.528591692447662,0.668097892794232,0.463617564861484,-5.35395193461217,6.28118706433514
M_PL_061_01,0.283333333333333,0.411764705882353,1,26.8225286635644,12,5,0.545454545454545,0.7,0.524221479892731,0.763927339879172,NA,NA,NA
M_PL_061_02,0.317647058823529,0.545454545454545,1.22727272727273,21.4820124226357,17,5,0.816176470588235,1.8,0.354595363140106,0.678192616504778,NA,NA,NA
M_PL_061_03,0.285714285714286,0.4,1.2,32.8516645533576,14,6,0.516483516483517,1.2,0.388020813465118,0.672968850320928,NA,NA,NA
M_PL_061_04,0.258928571428571,0.272727272727273,1.31818181818182,25.3289266814622,14,8,0.703296703296703,1.42857142857143,0.340665876865387,0.633692309258391,NA,NA,NA
M_PL_061_05,0.193181818181818,0.294117647058824,1.5,18.446345911587,22,12,0.614718614718615,1.1969696969697,0.381391763687134,0.593532702442694,NA,NA,NA
M_PL_061_06,0.21969696969697,0.371428571428571,1.65714285714286,31.3183460864296,24,11,0.507246376811594,2.12727272727273,0.313466101884842,0.615933619896094,NA,NA,NA
M_PL_061_07,0.29951690821256,0.4375,1.9375,24.1757849161965,23,9,0.924901185770751,2.86111111111111,0.171175837516785,0.4990293166891,NA,NA,NA
M_PL_061_08,0.307017543859649,0.52,1.4,28.179953813397,19,6,0.695906432748538,2.13333333333333,0.368163287639618,0.637034967421082,NA,NA,NA
M_PL_061_09,0.25,0.25,0.9375,30.0991649201372,10,6,0.422222222222222,0.333333333333333,0.493333339691162,0.762201196372152,NA,NA,NA
M_PL_061_10,0.285714285714286,0.473684210526316,1.05263157894737,36.8811607785604,14,5,0.428571428571429,0.8,0.488750010728836,0.736011404475607,NA,NA,NA
M_PL_061_11,0.236111111111111,0.333333333333333,0.944444444444444,32.9643381560669,12,6,0.378787878787879,0.4,0.538062274456024,0.775610728645275,NA,NA,NA
M_PL_061_12,0.285714285714286,0.263157894736842,1.26315789473684,22.425458461396,12,7,0.53030303030303,1.57142857142857,0.358506947755814,0.641092213883872,NA,NA,NA
M_PL_061_13,0.293233082706767,0.461538461538462,1.5,22.410738554169,19,7,0.91812865497076,2.23809523809524,0.32971727848053,0.572501302900095,0.636723129700076,-0.449998387623533,1.72344464702369
M_PL_061_14,0.272727272727273,0.294117647058824,1.05882352941176,40.4158447152237,11,6,0.381818181818182,0.933333333333333,0.421296298503876,0.703359197111754,NA,NA,NA
M_PL_061_15,0.305555555555556,0.5,1.375,32.1720102792891,18,6,0.581699346405229,1.8,0.37465563416481,0.61600848388814,NA,NA,NA
M_PL_061_16,0.269736842105263,0.407407407407407,1.51851851851852,24.0891512687951,19,8,0.766081871345029,1.67857142857143,0.372099936008453,0.567262928277351,NA,NA,NA
M_PL_061_17,0.162393162393162,0.181818181818182,0.863636363636364,26.71221319171,13,9,0.217948717948718,0.277777777777778,0.619113564491272,0.781734829952231,NA,NA,NA
M_PL_061_18,0.176767676767677,0.241379310344828,1.20689655172414,21.5158722214218,18,11,0.320261437908497,0.854545454545454,0.52448982000351,0.688957830814565,NA,NA,NA
M_PL_061_19,0.19047619047619,0.3125,1.375,16.0019527271675,21,11,0.452380952380952,1.12727272727273,0.434917360544205,0.658435044901259,0.661589546199317,0.620869668434886,0.702309423963747
M_PL_061_20,0.162337662337662,0.12,1,16.7697862333782,14,11,0.340659340659341,0.418181818181818,0.555199980735779,0.671428849835781,NA,NA,NA
M_PL_061_21,0.217171717171717,0.241379310344828,1.48275862068966,28.0662225476768,18,11,0.529411764705882,1.2,0.412385106086731,0.585611134617935,NA,NA,NA
M_PL_061_22,0.155555555555556,0.285714285714286,1,24.4809569371741,18,10,0.254901960784314,0.422222222222222,0.607780635356903,0.765718655540346,NA,NA,NA
M_PL_061_23,0.173076923076923,0.444444444444444,1.25,16.5407034429412,26,10,0.381538461538462,0.888888888888889,0.529382765293121,0.694587608141736,NA,NA,NA
M_PL_061_24,0.232323232323232,0.241379310344828,1.58620689655172,16.5572164166427,18,11,0.65359477124183,1.54545454545455,0.441162526607513,0.574495636896343,0.556393613791042,0.289663445274801,0.823123782307282
M_PL_061_25,0.381818181818182,0.375,1.3125,29.3333098320856,11,5,0.672727272727273,2,0.311791390180588,0.592631385806898,NA,NA,NA
